1,Service Name,Error Code,Error Description,Error Message
2,"detail, itinerary, coupon, get-payment-list",11,grn session expire,search_id session expire for grn
3,Hotel detail,10,In Process,Process to fetch response from queue
4,Hotel detail,12,queue status ( -1 ),data not found in queue after process
5,Hotel detail,13,Hotel rates not found,Bunddle rates not found for hotel
6,,,,
7,Hotel Places,1,Q cannot be blank,Q cannot be blank
8,,2,Q should contain at least 3 characters.,Q should contain at least 3 characters.
9,,,,
10,Bulk Enquiry (Flight nd Hotel),3,User Not Found,User Not Found
11,,4,Error saving additional information,
12,,5,Error saving bulk enquiry,
13,,6,Type is required,
14,,7,User ID required,
15,,8,Source is required,
16,,9,from_date is required,
17,,47,to_date id required,
18,,44,pax_count is required,
19,,45,adt is required,
20,,46,added_ip is required,
21,,14,is_deleted required,
22,,15,destination is required,
23,,,,
24,Get Search ID,16,dest_id is required,
25,,17,dest_type is requird,
26,,18,dest_name is required,
27,,19,Check In date is required,
28,,20,The format of Check In is invalid.,
29,,21,Check in date should be today or future date,
30,,22,Check Out date is required,
31,,23,The format of Check Out is invalid.,
32,,24,Check out date should be greater than check in date,
33,,25,Adults are required,
34,,26,Adult must be no less than 1 and no greater than 4.,
35,,27,Atleast 1 adult should be in room(s),
36,,28,Total number of Adult and child in a room should not be greater than 6.,
37,,29,num_rooms should be number.,
38,,30,child_age_field should be number,
39,,31,stars should be number and (Min 1 to Max 5) ,
40,,32,Only 4 childs are valid in one room,
41,,33,User group not found,
42,,34,Vcodes not found,
43,,,,
44,Hotel Avalability,11,grn session expire,
45,,35,sid could not be blank,
46,,36,display_group_id should be integer,
47,,37,Hotels not found,
48,,38,Princing policy rates or api fare not found,
49,,39,Processed fares not found after pricing policy applied,
50,,40,pricing policy default rule not found,
51,,41,Failed to apply pricing policy,
52,,42,Search Queue not found,
53,,43,component not found for api,
54,,,,
55,Hotel Details,48,hid required,
56,,49,vid (vcode) is required,
57,,10,Re-search since cache expired,
58,,50,Hotel details not found,
59,,13,Hotel's rates not found,
60,,,,
61,Fetch Cancellation Policy,51,Error to fetch Cancellation Policy details,
62,,52,Cancellation policy codes not found,
63,,81,hotel detail raw data expired,
64,,,,
65,Hotel Confirmation,53,qid is required,
66,,54,Invalid sid or sid expired.,
67,,55,Hotel raw data has been expired,
68,,56,Invalid User,
69,,57,Hotel not found in avaliable hotel list,
70,,58,hotel detail processed data not found,
71,,81,This room is no longer available,
72,,82,rate_key is invalid,
73,,83,"Invalid data, Check all provided fields",
74,,84,rate_key value/type is invalid,
75,,85,Unknown Error at Supplier’s end,
76,,86,Not Authorised at supplier’s end,
77,,87,Supplier API is currently unavailable,
78,,116,Customer pan number required,
79,Action Itinerary | traveller detail | coupon apply,59,Itinerary id cannot be blank,
80,,60,travellers is required,
81,,61,mobile number is required,
82,,62,mobile isd code is required,
83,,63,action is required,
84,,64,Formated mobile is required,
85,,65,traveler pax_type is required,
86,,66,salutation is required,
87,,67,first_name is required,
88,,68,first_name length should be greater than 1 charecter,
89,,69,last_name is required,
90,,70,last_name should be greater than 1 character,
91,,71,coupon_code is requird,
92,,72,"Provisional booking failed, Please try again",
93,,73,Something went wrong in itinerary,
94,,74,Itinerary not found,
95,,75,Coupon is Invalid or Expeired,
96,,76,Invalid Coupon. Coupon Rules not found,
97,,77,Search Replacement Parameters not found,
98,,78,Flight or Hotel Coupon Policy class not found,
99,,111,Markup should not be empty.,Markup should not be empty.
100,,114,Agent isd should not be empty.,Agent isd should not be empty.
101,,115,Agent mobile should not be empty.,Agent mobile should not be empty.
,,,,
,Get NearBy Hotels,79,Please check provided data is correct,
,,80,Near by hotels not found,
,,,,
,Hotel Suggession,81,Result Not Found,
,,,,
,,,,
,/api/v1/su/create,1,Parameters are required,
,,2,url cannot be empty,
,,,,
,,4,Destination id cannot be empty,
,,5,Destination name cannot be empty,
,,6,Destination name cannot be empty,
,,7,checkin is invalid,
,,8,checkout is invalid,
,,9,checkin must be greater than checkout,
,,10,checkin must be greater than checkout,
,,11,Atleast 1 room with single guest is required.,
,,,,
,api/v1/send-pinned-email,2,Invalid token,
,,3,To cannot be more than 5.,
,,4,Cc cannot be more than 5.,
,,5,Bcc cannot be more than 5.,
